2026-09-24 23:59:26.053 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=0000014B eax=3BD91544 ebx=30DB5548 ecx=0000001F edx=00000040 esi=00000001 edi=00000007 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.054 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DC8B0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.055 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.056 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.057 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.058 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DCB40 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:27.311 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DD958 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.314 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000151 eax=3BD91544 ebx=2F2DBD28 ecx=00000025 edx=00000000 esi=00000001 edi=0000000D ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.315 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.316 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000000 esi=00000001 edi=00000063 ebp=019BD84C esp=019BD804
